 

stn;time;tre200s0
BER;201905071420;14.1
BER;201905071430;13.8
BER;201905071440;13.9
BER;201905071450;13.9
BER;201905071500;13.8
BER;201905071510;14.0
BER;201905071520;13.9
BER;201905071530;13.9
BER;201905071540;14.0
BER;201905071550;13.9
BER;201905071600;14.0
BER;201905071610;13.8
BER;201905071620;13.9
BER;201905071630;13.9
BER;201905071640;13.9
BER;201905071650;13.9
BER;201905071700;13.6
BER;201905071710;13.7
BER;201905071720;13.5
BER;201905071730;13.3
BER;201905071740;13.2
BER;201905071750;12.8
BER;201905071800;12.2
BER;201905071810;11.7
BER;201905071820;11.6
BER;201905071830;10.6
BER;201905071840;10.0
BER;201905071850;9.9
BER;201905071900;9.4
BER;201905071910;9.3
BER;201905071920;9.4
BER;201905071930;8.8
BER;201905071940;8.4
BER;201905071950;8.6
BER;201905072000;9.4
BER;201905072010;8.7
BER;201905072020;8.2
BER;201905072030;8.3
BER;201905072040;7.8
BER;201905072050;7.9
BER;201905072100;8.0
BER;201905072110;8.2
BER;201905072120;7.8
BER;201905072130;7.3
BER;201905072140;7.7
BER;201905072150;7.3
BER;201905072200;7.7
BER;201905072210;7.8
BER;201905072220;8.0
BER;201905072230;7.7
BER;201905072240;7.8
BER;201905072250;7.3
BER;201905072300;7.6
BER;201905072310;8.4
BER;201905072320;8.1
BER;201905072330;8.1
BER;201905072340;8.2
BER;201905072350;7.6
BER;201905080000;8.1
BER;201905080010;8.0
BER;201905080020;8.7
BER;201905080030;8.9
BER;201905080040;9.4
BER;201905080050;9.5
BER;201905080100;9.5
BER;201905080110;9.5
BER;201905080120;9.5
BER;201905080130;9.6
BER;201905080140;9.5
BER;201905080150;9.2
BER;201905080200;8.9
BER;201905080210;8.4
BER;201905080220;8.8
BER;201905080230;9.1
BER;201905080240;8.8
BER;201905080250;8.9
BER;201905080300;8.4
BER;201905080310;8.5
BER;201905080320;9.1
BER;201905080330;8.6
BER;201905080340;8.3
BER;201905080350;8.3
BER;201905080400;8.1
BER;201905080410;8.0
BER;201905080420;7.8
BER;201905080430;7.7
BER;201905080440;7.7
BER;201905080450;7.9
BER;201905080500;7.9
BER;201905080510;8.0
BER;201905080520;8.2
BER;201905080530;8.3
BER;201905080540;8.5
BER;201905080550;8.9
BER;201905080600;9.0
BER;201905080610;9.2
BER;201905080620;9.3
BER;201905080630;9.0
BER;201905080640;9.2
BER;201905080650;9.3
BER;201905080700;9.2
BER;201905080710;9.4
BER;201905080720;9.6
BER;201905080730;9.7
BER;201905080740;9.7
BER;201905080750;9.5
BER;201905080800;9.7
BER;201905080810;9.5
BER;201905080820;9.9
BER;201905080830;9.9
BER;201905080840;10.0
BER;201905080850;10.0
BER;201905080900;10.1
BER;201905080910;10.0
BER;201905080920;10.3
BER;201905080930;10.2
BER;201905080940;10.3
BER;201905080950;10.4
BER;201905081000;10.3
BER;201905081010;10.3
BER;201905081020;10.5
BER;201905081030;10.6
BER;201905081040;10.6
BER;201905081050;10.8
BER;201905081100;10.5
BER;201905081110;10.5
BER;201905081120;10.5
BER;201905081130;10.5
BER;201905081140;10.8
BER;201905081150;10.7
BER;201905081200;10.4
BER;201905081210;10.4
BER;201905081220;10.5
BER;201905081230;10.5
BER;201905081240;10.6
BER;201905081250;10.6
BER;201905081300;10.7
BER;201905081310;10.6
BER;201905081320;10.4
BER;201905081330;10.4
BER;201905081340;10.3
BER;201905081350;10.3
BER;201905081400;10.4
BER;201905081410;10.5
BER;201905081420;10.3
BER;201905081430;10.3
BER;201905081440;10.4
BER;201905081450;10.4
BER;201905081500;10.3
BER;201905081510;10.4
BER;201905081520;10.4
BER;201905081530;10.5
BER;201905081540;10.3
BER;201905081550;10.3
BER;201905081600;10.3
BER;201905081610;10.4
BER;201905081620;10.4
BER;201905081630;10.3
BER;201905081640;10.0
BER;201905081650;9.7
BER;201905081700;9.3
BER;201905081710;8.8
BER;201905081720;8.3
BER;201905081730;8.0
BER;201905081740;7.6
BER;201905081750;7.6
BER;201905081800;7.5
BER;201905081810;7.5
BER;201905081820;7.6
BER;201905081830;7.7
BER;201905081840;7.7
BER;201905081850;7.5
BER;201905081900;7.4
BER;201905081910;7.3
BER;201905081920;7.2
BER;201905081930;7.1
BER;201905081940;7.1
BER;201905081950;7.2
BER;201905082000;7.3
BER;201905082010;7.3
BER;201905082020;7.3
BER;201905082030;7.2
BER;201905082040;7.1
BER;201905082050;7.1
BER;201905082100;7.1
BER;201905082110;7.1
BER;201905082120;7.2
BER;201905082130;6.9
BER;201905082140;6.9
BER;201905082150;6.7
BER;201905082200;6.7
BER;201905082210;6.2
BER;201905082220;6.3
BER;201905082230;6.5
BER;201905082240;6.3
BER;201905082250;6.4
BER;201905082300;6.4
BER;201905082310;5.8
BER;201905082320;5.1
BER;201905082330;5.7
BER;201905082340;5.8
BER;201905082350;5.9
BER;201905090000;6.2
